"TC_ID","Status","Module","Description","Expected"
"DAS-001",,"Dashboard","Replace Top Selling Products graph with Cash In Flow Graph",
"DAS-002",,"Dashboard","Cash In Flow Graph â€“ Daily view",
"DAS-003",,"Dashboard","Cash In Flow Graph â€“ Weekly view",
"DAS-004",,"Dashboard","Cash In Flow Graph â€“ Monthly view",
"DAS-005",,"Dashboard","Cash In Flow Graph axes â€“ Y-Axis = Receivables Amount",
"DAS-006",,"Dashboard","Cash In Flow Graph axes â€“ X-Axis = Customers",
"COM-001",,"Company","New optional field: Company Director Name",
"COM-002",,"Company","New optional field: Company Director Contact",
"COM-003",,"Company","GSTIN Toggle â€“ Registered: collect GSTIN number",
"COM-004",,"Company","GSTIN Toggle â€“ Non-Registered: show NA",
"CUS-001",,"Customer","New optional field: Company Director Name",
"CUS-002",,"Customer","New optional field: Company Director Contact",
"CUS-003",,"Customer","GSTIN Toggle â€“ Registered: collect GSTIN",
"CUS-005",,"Customer","New Country field on Customer",
"CUS-006",,"Customer","Country flows to Tax Invoice billing address",
"CUS-007",,"Customer","Customer ID â€“ Domestic format: CUST-[STATE CODE]-[5-DIGIT]",
"CUS-008",,"Customer","Customer ID â€“ International format: CUST-INT-[5-DIGIT]",
"CUS-009",,"Customer","Customer code auto-fills based on selected State/Country",
"CUS-010",,"Customer","Billing address auto-copies from Company Profile on creation",
"CUS-011",,"Customer","Business Type dropdown: Domestic / International",
"SUP-001",,"Supplier","New optional field: Company Director Name",
"SUP-002",,"Supplier","New optional field: Company Director Contact",
"SUP-003",,"Supplier","GSTIN Toggle â€“ Registered: collect GSTIN",
"SUP-005",,"Supplier","Billing Address field on Supplier (same structure as Customer)",
"SUP-006",,"Supplier","Supplier Code â€“ Domestic format: SUPP-[STATE CODE]-[5-DIGIT]",
"SUP-007",,"Supplier","Supplier Code â€“ International format: SUPP-INT-[5-DIGIT]",
"SUP-008",,"Supplier","Supplier code auto-fills based on selected State/Country",
"SUP-009",,"Supplier","Business Type dropdown: Domestic / International",
"PRO-001",,"Products Master","Remove 'Minimum Stock' field",
"PRO-002",,"Products Master","Rename 'Safety Stock' to 'Min Safety Stock'",
"PRO-003",,"Products Master","Rename 'SKU' to 'Base Unit' (mandatory)",
"PRO-004",,"Products Master","Rename 'Unit of Measure' to 'Order Unit/Packing' (optional)",
"PRO-005",,"Products Master","Add Order Unit to Base Unit mapping (e.g. 1 case = 10 Bottles)",
"PRO-006",,"Products Master","Purchase price calculated as Price Ã— Base Unit qty",
"PRO-007",,"Products Master","Purchase Price must be less than Selling Price",
"PRO-008",,"Products Master","Selling Price must be less than MRP",
"PRO-009",,"Products Master","Status 'In Stock' when Opening Stock > Min Safety Stock",
"PRO-010",,"Products Master","Status 'Low Stock' when Opening Stock â‰¤ Min Safety Stock",
"PRO-011",,"Products Master","Popup 'Product created successfully' after creation",
"PRO-012",,"Products Master","Popup 'Product modified successfully' after edit",
"PRO-013",,"Products Master","BUG FIX: 'Product created successfully' message appearing twice",
"STO-001",,"Stock Master","Rename status 'Normal' to 'In Stock'",
"STO-002",,"Stock Master","'Low Stock' blinking animation when qty â‰¤ Min Safety Stock",
"STO-003",,"Stock Master","BUG FIX: Stock not reflecting in Stock Master after GRN posting",
"STO-004",,"Stock Master","BUG FIX: Batch number not updating after GRN posting",
"PUR-001",,"Purchase Order","Rename Order Status to 'Sent / Approved'",
"PUR-002",,"Purchase Order","Replace 'Sent' with 'Approve / Send' in PO View screen",
"GRN-001",,"GRN","Add Product ID field in New GRN form",
"GRN-002",,"GRN","After linking PO: merge Qty and Received into 'Received Qty' (editable)",
"GRN-003",,"GRN","Display PO Number instead of 'Linked'",
"GRN-004",,"GRN","Payment Terms field auto-fills from Supplier Master",
"GRN-005",,"GRN","Payment Due Date = Goods Received Date + Payment Terms",
"GRN-006",,"GRN","Received Date: allow past dates, block future dates",
"GRN-007",,"GRN","Manufacturing Date: must be a past date only",
"GRN-008",,"GRN","Expiry Date: must be a future date only",
"GRN-009",,"GRN","Add 'Free' column next to Received Qty (editable)",
"GRN-010",,"GRN","Free qty increases stock but does NOT affect total price",
"GRN-011",,"GRN","BUG FIX: Spelling mistake 'Partial' is misspelled",
"SAL-001",,"Sales","Remove Sales Order module entirely",
"SAL-003",,"Sales","Quotation: Replace Unit Price with MRP",
"SAL-004",,"Sales","Quotation: Add Product ID column",
"SAL-005",,"Sales","Quotation: Add Product Description column",
"SAL-006",,"Sales","Quotation: Valid Until Date must be a future date",
"SAL-007",,"Sales","Quotation: Remove SO reference",
"SAL-008",,"Sales","Quotation: Rename 'Send' button to 'Approve'",
"SAL-009",,"Sales","Quotation: Download PDF option",
"SAL-010",,"Sales","Quotation: Send PDF option",
"SAL-011",,"Sales","Quotation output format same as Tax Invoice (header = 'Quotation')",
"SAL-012",,"Sales","Quotation: Edit option available after creation",
"SAL-013",,"Sales","Sales Invoice: Product ID field",
"SAL-014",,"Sales","Sales Invoice: Product Description field",
"SAL-015",,"Sales","Sales Invoice: Order Unit/Packing field",
"SAL-016",,"Sales","Sales Invoice: Batch field",
"SAL-017",,"Sales","Sales Invoice: MFG Date field",
"SAL-018",,"Sales","Sales Invoice: EXP Date field",
"SAL-019",,"Sales","Sales Invoice: Free column (does not affect total amount)",
"SAL-020",,"Sales","Sales Invoice: MRP auto-fills from Product Master (renamed from Price)",
"SAL-021",,"Sales","Sales Invoice: HSN Code field",
"SAL-022",,"Sales","Sales Invoice: CGST auto-fills from Product Master GST setting",
"SAL-023",,"Sales","Sales Invoice: SGST auto-fills from Product Master GST setting",
"SAL-024",,"Sales","Sales Invoice: Remove auto-fill from Sales Order",
"SAL-025",,"Sales","Sales Invoice: Due Date auto-calculated from Customer Payment Terms",
"SAL-026",,"Sales","Sales Invoice: Due Date allows manual override",
"SAL-027",,"Sales","Sales Invoice: Edit option in Invoice View screen",
"SAL-028",,"Sales","BUG FIX: Spelling mistake 'Draft' is misspelled",
"REC-002",,"Receivables","Dashboard Outstanding Receivables reduces after payment recorded",
"REC-003",,"Receivables","Payment = Invoice amount â†’ status 'Fully Received'",
"REC-004",,"Receivables","Payment < Invoice amount â†’ status 'Partially Received'",
"REC-005",,"Receivables","Receivable amount cannot exceed Invoice value",
